見出し,表記
きだい,季題
ぎたい,擬態
ぎだい,議題
きたえあげる,鍛え上げる
きたえる,鍛える
きたかぜ,北風
きたく,帰宅
きたく,寄託
きたす,来す
きだて,気立て
きたない,汚い・×穢い
きたならしい,汚らしい・×穢らしい
きたる,来る
きたんなく,忌×憚なく
きち,吉
きち,危地
きち,既知
きち,基地
きち,機知・機×智
きちがい,気違い・気△狂い
きちきち,
きちく,鬼畜
きちじつ,吉日
きちすう,既知数
きちにち,吉日
きちゃく,帰着
きちゅう,忌中
きちょう,記帳
きちょう,基調
きちょう,貴重
ぎちょう,議長
きちょうひん,貴重品
きちょうめん,×几帳面
きちんと,
きちんやど,木賃宿
きつい,
きつえん,喫煙
きづかい,気遣い
きづかう,気遣う
きっかけ,切っ掛け
きっかり,
きづかれ,気疲れ
きづかわしい,気遣わしい
きっきょう,吉凶
キック,kick
きづく,気付く
きづけ,気付・気△附
きっさ,喫茶
きっさてん,喫茶店
きつじつ,吉日
ぎっしり,
きっすい,喫水・×吃水
きっすい,生っ粋
きっすいせん,喫水線・×吃水線
きっする,喫する
きっちょう,吉兆
きっちり,
きつつき,〈×啄木鳥〉
きって,切手
きっと,
きつね,×狐
きっぱり,
きっぷ,切符
きっぽう,吉報
きつもん,詰問
きづよい,気強い
きてい,既定
きてい,基底
きてい,規定
ぎてい,義弟
きてき,汽笛
きてん,気転・機転
きてん,起点
きでん,貴殿
きと,企図
きと,帰途
きど,木戸
きど,喜怒
きどあいらく,喜怒哀楽
きとう,祈×祷
きどう,軌道
きどう,機動
きとく,危篤
きとく,奇特
きとく,既得
きどり,気取り
きどる,気取る
きなが,気長
きながし,着流し
きなこ,黄な粉
きなん,危難
きにいる,気に入る
きにち,忌日
きにゅう,記入
ギニョール,〔仏〕guignol
きぬ,絹
きぬいと,絹糸
きぬおりもの,絹織物
きぬけ,気抜け
きぬた,×砧
きね,×杵
キネマ,kinema
きねん,記念
ぎねん,疑念
きねんひ,記念碑
きねんび,記念日
きのう,《昨日》
きのう,帰納
きのう,機能
ぎのう,技能
きのこ,×茸・△菌
きのどく,気の毒
きのぼり,木登り
きのみ,木の実
きのみきのまま,着の身着の×侭
きのめ,木の芽
きのり,気乗り
きば,×牙
きば,騎馬
きはく,気迫・気×魄
きはく,希薄・×稀薄
きはつ,揮発
きばつ,奇抜
きはつゆ,揮発油
きばや,気早
きばやい,気早い
きばらし,気晴らし
きばる,気張る
きはん,規範・軌範
きばん,基盤
きひ,忌避
きび,×黍・×稷
きび,機微
きびき,忌引
きびしい,厳しい・△酷しい
きびす,×踵
きびだんご,×黍団子・△吉備団子
ぎひつ,偽筆
きひん,気品
きひん,貴賓
きびん,機敏
きふ,寄付・寄附
ぎふ,義父
ギブアップ,give up
きふう,気風
きふく,起伏
きふじん,貴婦人
きぶつ,器物
きぶん,気分
ぎふん,義憤
きへい,騎兵
きべん,×詭弁
きぼ,規模
ぎぼ,義母
きほう,既報
きぼう,希望
ぎほう,技法
きほん,基本
ぎまい,義妹
きまえ,気前
きまぐれ,気△紛れ
きまじめ,生〈真面目〉
きまずい,気まずい
きまま,気×侭
きまり,決まり・△極まり
きまりわるい,決まり悪い・△極まり悪い
きまる,決まる・△極まる
きみ,気味
きみ,黄身
きみ,君
きみがよ,君が代
きみがわるい,気味が悪い
きみつ,機密
きみゃく,気脈
きみょう,奇妙
ぎむ,義務
きむずかしい,気難しい
きめ,決め・△極め
きめ,木目・木△理・△肌△理
きめい,記名
ぎめい,偽名
きめこむ,決め込む・△極め込む
きめつける,△極め付ける
きめる,決める・△極める
きも,肝・△胆
きもいり,肝×煎り
きもち,気持ち
きもちよい,気持ち良い
きもの,着物
ぎもん,疑問
きゃあ,
ぎゃあ,
きやく,規約
きゃく,客
きゃく,脚
ぎゃく,逆
ギャグ,gag
ぎゃくこうか,逆効果
ぎゃくこうせん,逆光線
ぎゃくさつ,虐殺
ぎゃくさん,逆算
きゃくしゃ,客車
ぎゃくしゅう,逆襲
ぎゃくじょう,逆上
きゃくしょく,脚色
ぎゃくせつ,逆説
きゃくたい,客体
ぎゃくたい,虐待
ぎゃくてん,逆転
きゃくほん,脚本
きゃくま,客間
ぎゃくよう,逆用
ぎゃくりゅう,逆流
きゃしゃ,△華×奢・△花車
キャスト,cast
きやすめ,気休め
きゃたつ,脚立・脚×榻
きゃっ,
ぎゃっ,
きゃっか,却下
きゃっかん,客観
きゃっかんてき,客観的
ぎゃっきょう,逆境
きゃっこう,脚光
ぎゃっこう,逆行
キャッシュ,cash
キャッチ,catch
キャッチボール,〔和〕catch ball
キャッチャー,〔米〕catcher
キャッチャーボート,〔和〕catcher boat
キャップ,cap
ギャップ,gap
きゃはん,脚×絆
キャビン,cabin
キャプテン,captain
キャベツ,cabbage
キャラメル,caramel
ギャラリー,gallery
きゃん,
ギャング,gang
キャンセル,cancel
キャンデー,candy
キャンドル,candle
キャンピング,camping
キャンプ,camp
キャンペーン,campaign
きゅう,九
きゅう,旧
きゅう,×灸
きゅう,急
きゅう,級
きゅう,球
ぎゆう,義勇
きゅうあく,旧悪
きゅういん,吸引
きゅうえん,救援
きゅうか,旧家
きゅうか,休暇
きゅうかい,休会
きゅうがく,休学
きゅうかざん,休火山
きゅうかん,休刊
きゅうかんちょう,九官鳥
きゅうぎ,球技
きゅうきゅう,×汲×汲
きゅうきゅう,救急
ぎゅうぎゅう,
ぎゅうぎゅうづめ,ぎゅうぎゅう詰め
きゅうきょう,旧教
きゅうぎょう,休業
きゅうきょく,究極・窮極
きゅうきん,給金
きゅうくつ,窮屈
きゅうけい,休憩
きゅうけい,求刑
きゅうげき,急激
きゅうご,救護
きゅうこう,旧交
きゅうこう,休校
きゅうこう,休講
きゅうこう,急行
きゅうごう,糾合・×鳩合
きゅうこうれっしゃ,急行列車
きゅうこく,急告
きゅうこく,救国
きゅうこん,求婚
きゅうこん,球根
きゅうさい,救済
きゅうさく,旧作
きゅうし,旧師
きゅうし,休止
きゅうし,×臼歯
きゅうし,急死
きゅうし,急使
きゅうじ,給仕
きゅうしき,旧式
きゅうじつ,休日
きゅうしふ,休止符
きゅうしゅう,九州
きゅうしゅう,旧習
きゅうしゅう,吸収
きゅうしゅう,急襲
きゅうしょ,急所
きゅうじょ,救助
きゅうじょう,休場
きゅうじょう,球状
きゅうじょう,球場
きゅうじょう,窮状
きゅうしょく,休職
きゅうしょく,求職
きゅうしょく,給食
ぎゅうじる,牛耳る
きゅうしん,休診
きゅうしん,急進
きゅうしん,球審
きゅうじん,求人
きゅうしんりょく,求心力
きゅうす,急×須
きゅうすい,給水
きゅうすう,級数
きゅうする,給する
きゅうする,窮する
きゅうせい,旧制
きゅうせい,旧姓
きゅうせい,急性
きゅうせい,救世
きゅうせいしゅ,救世主
きゅうせき,旧跡・旧×蹟
きゅうせん,休戦
きゅうぞう,急造
きゅうそく,休息
きゅうそく,急速
きゅうたい,旧態
きゅうだい,及第
きゅうだん,糾弾・×糺弾
きゅうち,旧知
きゅうち,窮地
きゅうちしん,求知心
きゅうちゅう,宮中
きゅうちょう,級長
きゅうてい,宮廷
きゅうてき,×仇敵
きゅうてん,急転
きゅうでん,宮殿
きゅうてんちょっか,急転直下
きゅうと,旧都
きゅうとう,旧冬
きゅうどう,弓道
ぎゅうにく,牛肉
きゅうにゅう,吸入
ぎゅうにゅう,牛乳
きゅうねん,旧年
きゅうば,急場
ぎゅうば,牛馬
きゅうはく,急迫
きゅうはく,窮迫
きゅうはん,急坂
きゅうばん,吸盤
きゅうひ,給費
キューピー,kewpie
きゅうびょう,急病
きゅうふ,給付
きゅうぶん,旧聞
きゅうへい,旧弊
きゅうへん,急変
ぎゅうほ,牛歩
きゅうほう,急報
きゅうぼう,窮乏
きゅうみん,休眠
きゅうむ,急務
きゅうめい,究明
きゅうめい,糾明・×糺明
きゅうめい,救命
きゅうめいぐ,救命具
きゅうゆ,給油
きゅうゆう,旧友
きゅうゆう,級友
きゅうよ,給与
きゅうよ,窮余
きゅうよう,休養
きゅうよう,急用
きゅうらい,旧来
きゅうり,〈×胡×瓜〉
きゅうりゅう,急流
きゅうりょう,丘陵
きゅうりょう,給料
きゅうれき,旧暦
きよ,寄与
きょ,居
きよい,清い
きよう,器用
きよう,起用
きょう,《今日》
きょう,凶
きょう,狂
きょう,京
きょう,強
きょう,教
きょう,経
きょう,境
きょう,興
きょう,鏡
ぎょう,行
ぎょう,業
きょうあく,凶悪・×兇悪
きょうい,胸囲
きょうい,驚異
きょうい,脅威
きょういく,教育
きょういくしゃ,教育者
きょういん,教員
きょうえい,共栄
きょうえい,競泳
きょうえん,競演
きょうおう,供応・×饗応
きょうか,狂歌
きょうか,強化
きょうか,教化
きょうか,教科
きょうかい,協会
きょうかい,教会
きょうかい,境界
ぎょうかい,業界
きょうかく,胸郭・胸×廓
きょうがく,共学
ぎょうかく,仰角
きょうかしょ,教科書
きょうかつ,恐喝
きょうかん,共感
きょうかん,教官
きょうき,凶器・×兇器
きょうき,狂気
きょうき,狂喜
きょうぎ,協議
きょうぎ,狭義
きょうぎ,競技
ぎょうぎ,行儀
きょうきゅう,供給
ぎょうぎょうしい,仰仰しい
きょうく,狂句
きょうぐ,教具
きょうぐう,境遇
きょうくん,教訓
ぎょうけつ,凝結
きょうけん,狂犬
きょうけん,強健
きょうけん,強権
きょうげん,狂言
きょうこ,強固・×鞏固
ぎょうこ,凝固
きょうこう,凶行・×兇行
きょうこう,恐慌
きょうこう,強行
きょうこう,強硬
きょうごう,強豪
ぎょうこう,行幸
きょうこく,峡谷
きょうこく,強国
きょうさい,共済
きょうさい,共催
きょうざい,教材
きょうさく,凶作
きょうざめ,興×醒め
きょうさん,共産
きょうさん,協賛
ぎょうさん,仰山
きょうさんしゅぎ,共産主義
きょうし,教師
ぎょうし,凝視
ぎょうじ,行司
ぎょうじ,行事
きょうしつ,教室
きょうしゃ,強者
ぎょうしゃ,業者
ぎょうじゃ,行者
きょうじゃく,強弱
きょうしゅ,興趣
きょうじゅ,享受
きょうじゅ,教授
きょうしゅう,強襲
きょうしゅう,郷愁
きょうしゅく,恐縮
きょうしゅつ,供出
きょうじゅつ,供述
きょうじゅん,恭順
ぎょうしょ,行書
きょうしょう,狭小
きょうじょう,教場
ぎょうしょう,行商
ぎょうじょう,行状
きょうしょく,教職
きょうしん,強震
きょうじん,狂人
ぎょうずい,行水
きょうする,供する
きょうずる,興ずる
きょうせい,強制
きょうせい,矯正
ぎょうせい,行政
ぎょうせき,業績
きょうそ,教祖
きょうそう,強壮
きょうそう,競争
きょうそう,競走
きょうぞう,胸像
ぎょうそう,形相
きょうそうざい,強壮剤
きょうそん,共存
きょうぞん,共存
きょうだい,兄弟
きょうだい,強大
きょうだい,鏡台
きょうたく,供託
きょうたく,教卓
きょうたん,驚嘆・驚×歎
きょうだん,教壇
きょうち,境地
きょうちゅう,胸中
きょうちょう,協調
きょうちょう,強調
きょうつう,共通
きょうつうご,共通語
きょうてい,協定
きょうてき,強敵
ぎょうてん,仰天
きょうど,郷土
きょうとう,教頭
きょうどう,共同
きょうどう,協同
きょうどうぼきん,共同募金
きょうねん,享年
きょうばい,競売
きょうはく,脅迫
きょうはん,共犯
きょうふ,恐怖
きょうぶ,胸部
きょうふう,強風
きょうぼう,共謀
きょうぼう,狂暴
きょうぼく,×喬木
きょうほん,狂奔
きょうまい,供米
きょうみ,興味
きょうむ,教務
ぎょうむ,業務
きょうめい,共鳴
きょうやく,協約
きょうゆ,教諭
きょうゆう,共有
きょうよう,共用
きょうよう,強要
きょうよう,教養
きょうらく,享楽
きょうらん,狂乱
きょうり,郷里
きょうりょう,狭量
きょうりょく,協力
きょうりょく,強力
きょうれつ,強烈
ぎょうれつ,行列
きょうわ,共和
きょえい,虚栄
ギョーザ,〔中〕×餃△子
きょか,許可
ぎょか,漁火
きょがく,巨額
ぎょかく,漁獲
きょぎ,虚偽
ぎょぎょう,漁業
きょきん,×醵金
きょく,局
きょく,曲
きょく,極
ぎょく,漁区
きょくげい,曲芸
きょくげん,極言
きょくげん,極限
ぎょくざ,玉座
きょくしょう,極小
ぎょくせき,玉石
きょくせつ,曲折
きょくせん,曲線
きょくせんび,曲線美
きょくだい,極大
きょくたん,極端
きょくち,局地
きょくち,極地
きょくち,極致
きょくちょう,局長
きょくちょく,曲直
きょくど,極度
きょくとう,極東
きょくのり,曲乗り
きょくば,曲馬
きょくぶ,局部
きょくめん,局面
きょくもく,曲目
きょくりょく,極力
ぎょくろ,玉露
きょくろん,極論
ぎょけい,御慶
きょげん,虚言
きょこう,挙行
きょこう,虚構
ぎょこう,漁港
きょこく,挙国
きょじつ,虚実
きょしてき,巨視的
ぎょしゃ,御者・×馭者
きょじゃく,虚弱
きょしゅ,挙手
きょしゅう,去就
きょじゅう,居住
きょしょ,居所
きょしょう,巨匠
きょじょう,居城
ぎょじょう,漁場
きょしょく,虚飾
きょじん,巨人
ぎょする,御する
きょせい,去勢
きょせい,虚勢
きょぜつ,拒絶
ぎょせん,漁船
ぎょそん,漁村
きょだい,巨大
きょだつ,虚脱
きょっかい,曲解
きょっけい,極刑
きょっこう,極光
ぎょっと,
きょてん,拠点
きょとう,巨頭
きょどう,挙動
きょときょと,
きょとん,
ぎょにく,魚肉
きょねん,去年
きょひ,巨費
きょひ,拒否
きょひけん,拒否権
ぎょふ,漁夫・漁父
きょほう,虚報
きょまん,巨万
ぎょみん,漁民
きょむ,虚無
きよめ,清め
きよめる,清める
きょよう,許容
きよらか,清らか
きょり,距離
きょりゅう,居留
ぎょるい,魚類
きょれい,虚礼
きょろきょろ,
ぎょろぎょろ,
きょろつく,
ぎょろつく,
きょろり,
ぎょろり,
きらい,嫌い
きらい,機雷
きらう,嫌う
きらきら,
ぎらぎら,
きらく,気楽
きらびやか,
きらめかす,
きらめき,
きらめく,
きらり,
ぎらり,
きり,切り・△限
きり,×桐
きり,×錐
きり,霧
ぎり,義理
きりあい,切り合い
きりあう,切り合う
きりあげ,切り上げ
きりあげる,切り上げる
きりあめ,霧雨
きりうり,切り売り
きりおとす,切り落とす
きりかえ,切り替え・切り換え
きりかえる,切り換える・切り替える
きりかかる,切り掛かる
きりかける,切り掛ける
きりかぶ,切り株
きりきざむ,切り刻む
きりきず,切り傷・切り×疵
きりきり,
ぎりぎり,
きりぎりす,〈×螽×斯〉
きりきりまい,きりきり舞い
きりくずす,切り崩す
きりくち,切り口
きりこみ,切り込み・×斬り込み
きりこむ,切り込む
きりころす,切り殺す・×斬り殺す
きりさく,切り裂く
きりさげ,切り下げ
きりさげる,切り下げる
きりさめ,霧雨
ギリシア,〔葡〕Gre′cia
キリシタン,〔葡〕christa～o
きりすて,切り捨て
きりすてる,切り捨てる
キリスト,〔葡〕Christo
キリストきょう,キリスト教
きりそろえる,切り×揃える
きりたおす,切り倒す・×斬り倒す
きりだし,切り出し
きりだす,切り出す
ぎりだて,義理立て
きりつ,起立
きりつ,規律・紀律
きりつける,切り付ける
きりつめる,切り詰める
きりとる,切り取る
きりぬき,切り抜き
きりぬく,切り抜く
きりぬける,切り抜ける
きりはなす,切り離す・切り放す
きりはらう,切り払う
きりばり,切り張り・切り×貼り
きりひらく,切り開く
きりひろげる,切り広げる
きりふき,霧吹き
きりふだ,切り札
きりぼし,切り干し
きりまわす,切り回す・切り×廻す
きりみ,切り身
きりもみ,×錐×揉み
きりもり,切り盛り
きりゃく,機略
きりゅう,気流
きりゅう,寄留
きりょう,器量
ぎりょう,技量・×伎×倆
きりょく,気力
きりり,
きりん,×麒×麟
きる,切る・△伐る・×斬る・×截る・×鑚る
きる,着る
きるい,着類
キルク,〔蘭〕kurk
きれ,切れ
きれあじ,切れ味
きれい,奇麗・×綺麗
ぎれい,儀礼
きれぎれ,切れ切れ
きれじ,切れ地・△布地・△裂地
きれつ,×亀裂
きれはし,切れ端
きれめ,切れ目
きれる,切れる
きろ,岐路
きろ,帰路
キロ,〔仏〕kilo
キログラム,〔仏〕kilogramme
キロメートル,〔仏〕kilome′tre
キロリットル,〔仏〕kilolitre
キロワット,〔仏〕kilowatt
きろく,記録
ギロチン,guillotine
ぎろん,議論
きわ,際
ぎわく,疑惑
きわだつ,際立つ
きわどい,
きわまり,窮まり・極まり
きわまる,窮まる・極まる・△谷まる
きわみ,極み
きわめて,極めて
きわめる,窮める・極める・究める
きをつける,気を付ける
きん,斤
きん,金
きん,菌
きん,禁
ぎん,銀
きんいつ,均一
きんいろ,金色
ぎんいろ,銀色
きんえん,禁煙・禁×烟
きんか,近火
きんか,金貨
きんが,謹賀
ぎんか,銀貨
ぎんが,銀河
きんかい,近海
きんがく,金額
きんがみ,金紙
ぎんがみ,銀紙
きんかん,近刊
きんかん,金×柑
きんがん,近眼
きんき,近×畿
きんきゅう,緊急
きんぎょ,金魚
きんきょう,近況
きんぎょばち,金魚鉢
きんぎょや,金魚屋
きんきょり,近距離
きんきん,近近
きんぎん,金銀
キング,king
きんけい,近景
きんけい,謹啓
きんけん,勤倹
きんげん,金言
きんげん,謹厳
きんこ,近古
きんこ,禁固・禁×錮
きんこ,金庫
きんこう,均衡
きんこう,近郊
きんこう,金鉱
ぎんこう,銀行
きんこつ,筋骨
ぎんざ,銀座
きんざん,金山
ぎんざん,銀山
きんし,近視
きんし,禁止
きんしがんてき,近視眼的
きんじつ,近日
きんしゅ,禁酒
きんしゅく,緊縮
きんじょ,近所
きんしょう,×僅少
きんじょう,近状・近情
きんじょうへいか,今上陛下
きんじる,禁じる
きんしん,近親
きんしん,謹慎
きんす,金子
きんずる,禁ずる
ぎんずる,吟ずる
きんせい,均整・均斉
きんせい,近世
きんせい,金星
きんせい,禁制
きんせい,謹製
ぎんせかい,銀世界
きんせつ,近接
きんせん,金銭
きんそく,禁足
きんぞく,勤続
きんぞく,金属
きんだ,勤惰
きんだい,近代
きんだか,金高
きんだん,禁断
きんちゃく,×巾着
きんちょう,緊張
きんちょう,謹聴
きんちょく,謹直
きんてき,金的
きんとう,均等
きんとう,近東
きんとき,金時
きんどけい,金《時計》
ぎんどけい,銀《時計》
ぎんなん,銀×杏
きんにく,筋肉
きんねん,近年
きんのう,勤王・勤皇
きんぱく,金×箔
きんぱく,緊迫
きんぱつ,金髪
ぎんばん,銀盤
きんぴん,金品
きんぶん,均分
きんべん,勤勉
きんぺん,近辺
きんぼう,近傍
ぎんまく,銀幕
きんまんか,金満家
ぎんみ,吟味
きんみつ,緊密
きんむ,勤務
きんもつ,禁物
きんゆう,金融
きんよう,金曜
きんよう,緊要
きんよく,禁欲
きんらい,近来
きんり,金利
きんりょう,禁猟
きんりょく,金力
きんりん,近隣
きんるい,菌類
きんれい,禁令
きんろう,勤労
く,九
く,区
く,句
く,苦
ぐ,具
ぐ,愚
ぐあい,具合・△工合
くい,×杭・×杙
くい,悔い
くいあう,食い合う
くいあげ,食い上げ
くいあらためる,悔い改める
くいいじ,食い意地
クイーン,queen
くいかかる,食い掛かる
くいかけ,食い掛け
くいかける,食い掛ける
くいき,区域
くいけ,食い気
くいこみ,食い込み
くいこむ,食い込む
くいさがる,食い下がる
くいしばる,食いしばる
くいしんぼう,食いしん坊
クイズ,〔米〕quiz
くいたおす,食い倒す
くいだおれ,食い倒れ
くいちがい,食い違い
くいちがう,食い違う
くいちらす,食い散らす
くいつき,食いつき
くいつく,食いつく
くいつぶし,食い×潰し
くいつぶす,食い×潰す
くいつめる,食い詰める
ぐいと,
くいとめる,食い止める
くいにげ,食い逃げ
くいのばし,食い延ばし
くいのばす,食い延ばす
くいはぐれ,食いはぐれ
くいはぐれる,食いはぐれる
くいもの,食い物
くいる,悔いる
くう,食う・×喰う
くう,空
ぐう,
くうかん,空間
くうき,空気
くうきじゅう,空気銃
くうきょ,空虚
ぐうきょ,×寓居
ぐうぐう,
くうぐん,空軍
くうこう,空港
くうしゅう,空襲
ぐうすう,偶数
ぐうする,遇する
くうせき,空席
くうぜん,空前
ぐうぜん,偶然
くうそう,空想
ぐうぞう,偶像
くうちゅう,空中
ぐうっ,
クーデター,〔仏〕coup d’E´tat
クーニャン,〔中〕×姑△娘
くうはく,空白
ぐうはつ,偶発
くうひ,空費
くうふく,空腹
くうぼ,空母
くうほう,空砲
クーポン,〔仏〕coupon
くうゆ,空輸
クーラー,cooler
くうろ,空路
くうろん,空論
ぐうわ,×寓話
くえき,苦役
くかく,区画・区×劃
くがく,苦学
くがつ,九月
くかん,区間
ぐがん,具眼
くき,茎
くぎ,×釘
くぎづけ,×釘付け
くぎぬき,×釘抜き
くきょう,苦境
くぎょう,苦行
くぎり,句切り・区切り
くぎる,句切る・区切る
くく,九九
くくり,△括り
くぐり,△潜り
くくりつける,△括り付ける
くくる,△括る
くぐる,△潜る
くげ,△公家
くけい,×矩形
くける,×絎ける
くげん,苦言
ぐげん,具現
くさ,草
ぐさ,△種
くさい,臭い
くさいきれ,草いきれ
くさいろ,草色
くさかげ,草陰
くさかり,草刈り
くさき,草木
くさぐさ,△種△種
くさす,腐す
くさとり,草取り
くさば,草葉
くさばな,草花
くさはら,草原
くさび,×楔
くさぶえ,草笛
くさぶかい,草深い
くさぶき,草×葺き
くさまくら,草×枕
くさみ,×嚏
くさむしり,草むしり
くさむら,草むら・×叢
くさめ,×嚏
くさもち,草×餅
くさり,鎖
くさり,腐り
ぐさりと,
くさる,腐る
くさわけ,草分け
くし,×串
くし,駆使
くし,×櫛
くじ,×籖・×鬮
くしがき,×串×柿
くじき,×挫き
くじく,×挫く
くしけずる,×梳る
くじける,×挫ける
くしざし,×串刺し
くじびき,×籖引き
ぐしゃ,愚者
くじゃく,△孔×雀
くしゃくしゃ,
ぐしゃぐしゃ,
くしゃみ,×嚔
ぐしゃり,
くしゅう,句集
くじょ,駆除
くしょう,苦笑
くじょう,苦情
ぐしょう,具象
ぐしょぬれ,ぐしょ×濡れ
くじら,鯨
くしん,苦心
ぐしん,具申
ぐじん,愚人
くず,×屑
くず,×葛
ぐず,愚図
くずかご,×屑×篭
くすくす,
ぐずぐず,愚図愚図
くすぐったい,×擽ったい
くすぐり,×擽り
くすぐる,×擽る
くずす,崩す
ぐずつく,愚図つく
くすのき,×楠・×樟
くすぶり,×燻り
くすぶる,×燻る
くすべる,×燻べる
くずや,×屑屋
くずゆ,×葛湯
くすり,薬
くすりや,薬屋
くすりゆび,薬指
ぐずる,愚図る
くずれ,崩れ
くずれる,崩れる
くせ,癖・△曲
くせもの,△曲者
くせん,苦戦
くそ,×糞
ぐそく,具足
ぐそく,愚息
くだ,管
ぐたい,具体
ぐたいてき,具体的
くだく,砕く
くたくた,
くだくだ,
ぐたぐた,
くだくだしい,
くだける,砕ける
くださる,下さる
くだし,下し
くだす,下す・△降す
くたばる,
くたびれ,〈草×臥れ〉
くたびれる,〈草×臥れる〉
くだもの,《果物》
くだものや,《果物》屋
くだらない,下らない
くだり,下り
くだりざか,下り坂
くだる,下る・△降る
くち,口
ぐち,愚痴
くちえ,口絵
くちおしい,口惜しい
くちがえし,口返し
くちかず,口数
くちがね,口金
くちき,朽ち木
くちぎたない,口汚い
くちく,駆逐
くちぐせ,口癖
くちぐち,口口
くちぐるま,口車
くちごたえ,口答え
くちさき,口先
くちずさみ,口ずさみ
くちずさむ,口ずさむ
くちぞえ,口添え
くちだし,口出し
くちつき,口付き
くちづけ,口付け
くちづたえ,口伝え
くちどめ,口止め
くちば,朽ち葉
くちばし,×嘴
くちばしる,口走る
くちはばったい,口幅ったい
くちび,口火
くちびる,唇
くちぶえ,口笛
くちぶり,口振り
くちべに,口紅
くちまね,口〈真似〉
くちもと,口元・口△許
くちやかましい,口×喧しい
くちゃくちゃ,
ぐちゃぐちゃ,
くちゅうざい,駆虫剤
くちょう,口調
くちょう,区長
ぐちょく,愚直
くちる,朽ちる
ぐちる,愚痴る
くつ,靴・×沓
くつう,苦痛
くつがえす,覆す
くつがえる,覆る
クッキー,〔米〕cookie・cooky
くっきょう,屈強
くっきょく,屈曲
くっきり,
くつくつ,
くっくっ,
ぐつぐつ,
くっし,屈指
くつした,靴下
くつじゅう,屈従
くつじょく,屈辱
ぐっしょり,
クッション,cushion
くっしん,屈伸
くつずみ,靴墨
ぐっすり,
くっする,屈する
くつずれ,靴擦れ
くっせつ,屈折
くったく,屈託
ぐったり,
くっつく,
くっつける,
ぐっと,
グッドバイ,good-bye
くつぬぎ,×沓脱ぎ
グッバイ,←good-bye
くっぷく,屈伏・屈服
くつべら,靴×篦
くつみがき,靴磨き
くつや,靴屋
くつろぎ,△寛ぎ
くつろぐ,△寛ぐ
くつろげる,△寛げる
くつわ,×轡
くつわむし,×轡虫
くてん,句点
ぐでんぐでん,
くどい,
くとう,苦闘
くとうてん,句読点
くどく,口説く
くどく,功徳
くどくど,
くどくどしい,
ぐどん,愚鈍
くなん,苦難
くに,国
くにがら,国柄
くにぐに,国国
くにざかい,国境
くにじゅう,国中
くにもと,国元・国△許
ぐにゃぐにゃ,
ぐにゃり,
くぬぎ,×檪
くねくね,
くねる,
くのう,苦悩
くはい,苦杯
くばり,配り
くばる,配る
くび,首・×頚
ぐび,具備
くびかざり,首飾り・×頚飾り
くびきり,首切り・首×斬り
くびきる,首切る
くびす,×踵
くびすじ,首筋・×頸筋
くびっぴき,首っ引き
くびまき,首巻
くびる,△括る
くびれる,△括れる
くびわ,首輪
くふう,工夫
くぶくりん,九分九厘
くぶどおり,九分通り
くぶん,区分
くべつ,区別
くべつせい,区別性
くべる,
くぼまる,×窪まる
くぼみ,×窪み
くぼむ,×窪む
くぼめる,×窪める
くま,×熊
くまそ,×熊△襲
くまで,×熊手
くまなく,×隈無く
くみ,組み
くみ,×汲み・酌み
ぐみ,〈×胡×頽子〉・〈×茱×萸〉
くみあい,組合
くみあう,組み合う
くみあげる,×汲み上げる
くみあわす,組み合わす
くみあわせ,組み合わせ
くみあわせる,組み合わせる
くみいれる,組み入れる
くみうち,組み討ち・組み打ち
くみかえ,組み替え
くみかえる,組み替える
くみきょく,組曲
くみこむ,×汲み込む
くみしく,組み敷く
くみする,△与する
くみたて,×汲み立て
くみたて,組み立て
くみたてる,組み立てる
くみつく,組み付く
くみとり,×汲み取り
くみとる,×汲み取る
くみふせる,組み伏せる
くみわけ,組み分け
くむ,×汲む・酌む
くむ,組む
ぐむ,
くめん,工面
くも,雲
くも,〈×蜘×蛛〉
くもがくれ,雲隠れ
くもすけ,雲助
くもつ,供物
くものす,〈×蜘×蛛〉の巣
くもま,雲間
くもゆき,雲行き
くもらす,曇らす
くもり,曇り
くもる,曇る
くやくしょ,区役所
くやしい,悔しい・〈口惜しい〉
くやみ,悔やみ
くやむ,悔やむ
ぐゆう,具有
くゆらす,×燻らす
くゆらせる,×燻らせる
くよう,供養
くよくよ,
くら,蔵・倉・△庫
くら,×鞍
くらい,暗い
くらい,位
くらい,
グライダー,glider
クライマックス,climax
くらう,食らう
グラウンド,ground
くらがり,暗がり
くらく,苦楽
くらくら,
ぐらぐら,
くらげ,〈水母〉・〈海月〉
くらし,暮らし
クラシック,classic
くらしむき,暮らし向き
くらす,暮らす
クラス,class
クラスメート,classmate
ぐらつく,
グラビア,〔仏〕gravure
クラブ,club（同好者の集まり）
クラブ,club（トランプ）
グラフ,graph
くらべ,比べ・△競べ
くらべる,比べる・△較べる・△競べる
くらむ,暗む・×眩む
グラム,〔仏〕gramme
くらやみ,暗×闇
くらり,
ぐらり,
くらわす,食らわす
グランド,grand
グランプリ,〔仏〕grand prix
くり,×栗
くりあげ,繰り上げ
くりあげる,繰り上げる
くりあわせ,繰り合わせ
くりあわせる,繰り合わせる
クリーニング,cleaning
クリーム,cream
くりいれ,繰り入れ
くりいれる,繰り入れる
グリーン,green
クリーンヒット,〔米〕clean hit
くりかえ,繰り替え
くりかえし,繰り返し
くりかえす,繰り返す
くりかえる,繰り替える
くりくり,
ぐりぐり,
くりげ,×栗毛
