見出し,表記
あざやか,鮮やか
あさやけ,朝焼け
あさゆう,朝夕
あざらし,〈海×豹〉
あさり,浅×蜊
あさる,△漁る
あざわらう,〈嘲笑う〉
あし,足・脚
あし,×蘆・×葦
あじ,味
あじ,×鯵
アジア,Asia
あしあと,足跡
あしおと,足音
あしかけ,足掛け
あしからず,△悪しからず
あしがる,足軽
あしくび,足首
あしげ,足×蹴
あじさい,〈紫陽花〉
あしざま,△悪し様
あした,△朝
あした,〈明日〉
あしだ,足駄
あしだい,足代
あしつき,足つき
あじつけ,味付け
あしてまとい,足手×纏い
アジト,←agitation point
あしどめ,足留め
あしどり,足取り
あしなみ,足並み
あしならし,足慣らし・足×馴らし
あしば,足場
あしぶみ,足踏み
あしもと,足下・足元・足△許
あしらい,
あしらう,
あじわい,味わい
あじわう,味わう
あす,《明日》
あずかる,△与る
あずかる,預かる
あずき,《小豆》
あずけ,預け
あずける,預ける
あすこ,△彼△処
アスピリン,〔独〕Aspirin
アスファルト,〔蘭〕asphalt
あずま,△東・×吾妻
あずまや,〈四×阿〉・△東屋
あせ,汗
あぜ,△畔・×畦
アセチレン,acetylene
あせばむ,汗ばむ
あせび,〈馬酔木〉
あせぼ,汗×疹
あせみず,汗水
あせみずく,汗みずく
あぜみち,×畦道
あせみどろ,汗みどろ
あせも,〈汗×疹〉・汗×疣
あせる,焦る
あせる,×褪せる
あぜん,×唖然
あそこ,△彼△処
あそばす,遊ばす
あそび,遊び
あそびば,遊場
あそぶ,遊ぶ
あだ,×仇
あたい,価・値
あたいする,価する・値する
あだうち,×仇討ち
あたえる,与える
あたかも,×恰も
あたし,△私
あたたか,暖か・温か
あたたかい,暖かい・温かい
あたたまる,暖まる・温まる
あたためる,暖める・温める
あだな,×渾名・×仇名
あたふた,
あたま,頭
あたまごなし,頭ごなし
あたまでっかち,頭でっかち
あたら,
あたらしい,新しい
あたり,辺り
あたり,当たり
あたりさわり,当たり障り
あたりちらす,当たり散らす
あたりまえ,当たり前
あたる,当たる
あちこち,
あちら,〈彼方〉
あちらこちら,〈彼方×此方〉
あっ,
あつい,厚い
あつい,暑い
あつい,熱い
あつい,△篤い
あっか,悪化
あつかい,扱い
あつかう,扱う
あつかましい,厚かましい
あつがみ,厚紙
あっかん,悪漢
あっかんじょう,悪感情
あつぎ,厚着
あつくるしい,熱苦しい・暑苦しい
あっけ,×呆気
あっけない,×呆気ない
あっこう,悪口
あつさ,厚さ
あつさ,熱さ・暑さ
あっさく,圧搾
あっさり,
あっしゅく,圧縮
あっする,圧する
あっせん,×斡旋
あっち,〈彼方〉
あつで,厚手
あっとう,圧倒
あっとうてき,圧倒的
アットホーム,at home
あっぱく,圧迫
あっはっは,
あっぱれ,△天晴・×遖
アップル,apple
あつまり,集まり
あつまる,集まる
あつめる,集める
あつらえ,×誂え
あつらえむき,×誂え向き
あつらえる,×誂える
あつりょく,圧力
あつれき,×軋×轢
あて,当て・×宛
あてがう,
あてこすり,当て△擦り
あてこする,当て△擦る
あてこむ,当て込む
